,date,value
0,1971-02-01,3.799999999999999
1,1971-03-01,3.899999999999999
2,1971-04-01,4.0
3,1971-05-01,4.099999999999999
4,1971-06-01,4.099999999999999
5,1971-07-01,4.2
6,1971-08-01,4.2
7,1971-09-01,4.299999999999999
8,1971-10-01,4.4
9,1971-11-01,4.4
10,1971-12-01,4.5
11,1972-01-01,4.5
12,1972-02-01,4.5
13,1972-03-01,4.5
14,1972-04-01,4.5
15,1972-05-01,4.4
16,1972-06-01,4.4
17,1972-07-01,4.299999999999999
18,1972-08-01,4.299999999999999
19,1972-09-01,4.2
20,1972-10-01,4.2
21,1972-11-01,4.2
22,1972-12-01,4.099999999999999
23,1973-01-01,4.0
24,1973-02-01,3.899999999999999
25,1973-03-01,3.799999999999999
26,1973-04-01,3.799999999999999
27,1973-05-01,3.7
28,1973-06-01,3.7
29,1973-07-01,3.6
30,1973-08-01,3.6
31,1973-09-01,3.5
32,1973-10-01,3.5
33,1973-11-01,3.399999999999999
34,1973-12-01,3.399999999999999
35,1974-01-01,3.5
36,1974-02-01,3.6
37,1974-03-01,3.6
38,1974-04-01,3.6
39,1974-05-01,3.6
40,1974-06-01,3.6
41,1974-07-01,3.7
42,1974-08-01,3.7
43,1974-09-01,3.7
44,1974-10-01,3.7
45,1974-11-01,3.7
46,1974-12-01,3.799999999999999
47,1975-01-01,3.899999999999999
48,1975-02-01,4.0
49,1975-03-01,4.099999999999999
50,1975-04-01,4.2
51,1975-05-01,4.299999999999999
52,1975-06-01,4.5
53,1975-07-01,4.599999999999999
54,1975-08-01,4.7
55,1975-09-01,4.799999999999999
56,1975-10-01,4.9
57,1975-11-01,5.0
58,1975-12-01,5.099999999999999
59,1976-01-01,5.2
60,1976-02-01,5.299999999999999
61,1976-03-01,5.299999999999999
62,1976-04-01,5.4
63,1976-05-01,5.4
64,1976-06-01,5.4
65,1976-07-01,5.4
66,1976-08-01,5.5
67,1976-09-01,5.5
68,1976-10-01,5.5
69,1976-11-01,5.5
70,1976-12-01,5.5
71,1977-01-01,5.5
72,1977-02-01,5.5
73,1977-03-01,5.5
74,1977-04-01,5.5
75,1977-05-01,5.5
76,1977-06-01,5.599999999999999
77,1977-07-01,5.599999999999999
78,1977-08-01,5.7
79,1977-09-01,5.7
80,1977-10-01,5.7
81,1977-11-01,5.7
82,1977-12-01,5.7
83,1978-01-01,5.599999999999999
84,1978-02-01,5.599999999999999
85,1978-03-01,5.599999999999999
86,1978-04-01,5.599999999999999
87,1978-05-01,5.599999999999999
88,1978-06-01,5.5
89,1978-07-01,5.5
90,1978-08-01,5.5
91,1978-09-01,5.5
92,1978-10-01,5.4
93,1978-11-01,5.4
94,1978-12-01,5.299999999999999
95,1979-01-01,5.299999999999999
96,1979-02-01,5.4
97,1979-03-01,5.299999999999999
98,1979-04-01,5.299999999999999
99,1979-05-01,5.299999999999999
100,1979-06-01,5.299999999999999
101,1979-07-01,5.299999999999999
102,1979-08-01,5.4
103,1979-09-01,5.4
104,1979-10-01,5.4
105,1979-11-01,5.5
106,1979-12-01,5.599999999999999
107,1980-01-01,5.7
108,1980-02-01,5.799999999999999
109,1980-03-01,6.0
110,1980-04-01,6.099999999999999
111,1980-05-01,6.299999999999999
112,1980-06-01,6.5
113,1980-07-01,6.799999999999999
114,1980-08-01,7.099999999999999
115,1980-09-01,7.4
116,1980-10-01,7.7
117,1980-11-01,8.0
118,1980-12-01,8.3
119,1981-01-01,8.6
120,1981-02-01,8.9
121,1981-03-01,9.1
122,1981-04-01,9.4
123,1981-05-01,9.6
124,1981-06-01,9.7
125,1981-07-01,9.8
126,1981-08-01,9.9
127,1981-09-01,10.0
128,1981-10-01,10.1
129,1981-11-01,10.2
130,1981-12-01,10.3
131,1982-01-01,10.4
132,1982-02-01,10.4
133,1982-03-01,10.5
134,1982-04-01,10.5
135,1982-05-01,10.6
136,1982-06-01,10.6
137,1982-07-01,10.7
138,1982-08-01,10.8
139,1982-09-01,10.9
140,1982-10-01,11.0
141,1982-11-01,11.1
142,1982-12-01,11.2
143,1983-01-01,11.2
144,1983-02-01,11.3
145,1983-03-01,11.3
146,1983-04-01,11.3
147,1983-05-01,11.4
148,1983-06-01,11.5
149,1983-07-01,11.5
150,1983-08-01,11.5
151,1983-09-01,11.6
152,1983-10-01,11.6
153,1983-11-01,11.7
154,1983-12-01,11.7
155,1984-01-01,11.8
156,1984-02-01,11.8
157,1984-03-01,11.9
158,1984-04-01,11.9
159,1984-05-01,11.9
160,1984-06-01,11.8
161,1984-07-01,11.8
162,1984-08-01,11.7
163,1984-09-01,11.7
164,1984-10-01,11.7
165,1984-11-01,11.6
166,1984-12-01,11.6
167,1985-01-01,11.5
168,1985-02-01,11.5
169,1985-03-01,11.4
170,1985-04-01,11.4
171,1985-05-01,11.4
172,1985-06-01,11.3
173,1985-07-01,11.3
174,1985-08-01,11.3
175,1985-09-01,11.3
176,1985-10-01,11.3
177,1985-11-01,11.3
178,1985-12-01,11.3
179,1986-01-01,11.3
180,1986-02-01,11.3
181,1986-03-01,11.3
182,1986-04-01,11.3
183,1986-05-01,11.3
184,1986-06-01,11.4
185,1986-07-01,11.4
186,1986-08-01,11.4
187,1986-09-01,11.3
188,1986-10-01,11.3
189,1986-11-01,11.3
190,1986-12-01,11.2
191,1987-01-01,11.2
192,1987-02-01,11.1
193,1987-03-01,11.0
194,1987-04-01,10.9
195,1987-05-01,10.7
196,1987-06-01,10.6
197,1987-07-01,10.4
198,1987-08-01,10.2
199,1987-09-01,10.0
200,1987-10-01,9.9
201,1987-11-01,9.7
202,1987-12-01,9.5
203,1988-01-01,9.4
204,1988-02-01,9.2
205,1988-03-01,9.0
206,1988-04-01,8.9
207,1988-05-01,8.7
208,1988-06-01,8.6
209,1988-07-01,8.5
210,1988-08-01,8.4
211,1988-09-01,8.3
212,1988-10-01,8.2
213,1988-11-01,8.0
214,1988-12-01,7.9
215,1989-01-01,7.7
216,1989-02-01,7.599999999999999
217,1989-03-01,7.4
218,1989-04-01,7.299999999999999
219,1989-05-01,7.2
220,1989-06-01,7.2
221,1989-07-01,7.099999999999999
222,1989-08-01,7.099999999999999
223,1989-09-01,7.099999999999999
224,1989-10-01,7.0
225,1989-11-01,7.0
226,1989-12-01,7.0
227,1990-01-01,6.9
228,1990-02-01,6.9
229,1990-03-01,6.9
230,1990-04-01,6.9
231,1990-05-01,6.9
232,1990-06-01,6.9
233,1990-07-01,7.0
234,1990-08-01,7.099999999999999
235,1990-09-01,7.2
236,1990-10-01,7.299999999999999
237,1990-11-01,7.5
238,1990-12-01,7.599999999999999
239,1991-01-01,7.799999999999999
240,1991-02-01,8.0
241,1991-03-01,8.2
242,1991-04-01,8.5
243,1991-05-01,8.7
244,1991-06-01,8.8
245,1991-07-01,9.0
246,1991-08-01,9.2
247,1991-09-01,9.3
248,1991-10-01,9.4
249,1991-11-01,9.5
250,1991-12-01,9.5
251,1992-01-01,9.6
252,1992-02-01,9.7
253,1992-03-01,9.8
254,1992-04-01,9.8
255,1992-05-01,9.8
256,1992-06-01,9.9
257,1992-07-01,9.9
258,1992-08-01,9.9
259,1992-09-01,10.1
260,1992-10-01,10.2
261,1992-11-01,10.4
262,1992-12-01,10.5
263,1993-01-01,10.7
264,1993-02-01,10.6
265,1993-03-01,10.6
266,1993-04-01,10.5
267,1993-05-01,10.4
268,1993-06-01,10.4
269,1993-07-01,10.3
270,1993-08-01,10.2
271,1993-09-01,10.3
272,1993-10-01,10.2
273,1993-11-01,10.3
274,1993-12-01,10.3
275,1994-01-01,10.1
276,1994-02-01,9.9
277,1994-03-01,9.8
278,1994-04-01,9.7
279,1994-05-01,9.7
280,1994-06-01,9.6
281,1994-07-01,9.5
282,1994-08-01,9.4
283,1994-09-01,9.3
284,1994-10-01,9.1
285,1994-11-01,9.0
286,1994-12-01,8.9
287,1995-01-01,8.9
288,1995-02-01,8.9
289,1995-03-01,8.8
290,1995-04-01,8.8
291,1995-05-01,8.7
292,1995-06-01,8.7
293,1995-07-01,8.6
294,1995-08-01,8.6
295,1995-09-01,8.6
296,1995-10-01,8.6
297,1995-11-01,8.3
298,1995-12-01,8.4
299,1996-01-01,8.3
300,1996-02-01,8.2
301,1996-03-01,8.3
302,1996-04-01,8.3
303,1996-05-01,8.3
304,1996-06-01,8.2
305,1996-07-01,8.1
306,1996-08-01,8.1
307,1996-09-01,8.1
308,1996-10-01,8.0
309,1996-11-01,7.799999999999999
310,1996-12-01,7.7
311,1997-01-01,7.5
312,1997-02-01,7.299999999999999
313,1997-03-01,7.2
314,1997-04-01,7.2
315,1997-05-01,7.2
316,1997-06-01,7.299999999999999
317,1997-07-01,7.099999999999999
318,1997-08-01,6.799999999999999
319,1997-09-01,6.7
320,1997-10-01,6.599999999999999
321,1997-11-01,6.5
322,1997-12-01,6.4
323,1998-01-01,6.4
324,1998-02-01,6.4
325,1998-03-01,6.299999999999999
326,1998-04-01,6.299999999999999
327,1998-05-01,6.299999999999999
328,1998-06-01,6.299999999999999
329,1998-07-01,6.299999999999999
330,1998-08-01,6.2
331,1998-09-01,6.2
332,1998-10-01,6.2
333,1998-11-01,6.099999999999999
