,age,date,value
0,16-24,2019-10-01,0
1,16-24,2019-11-01,1
2,16-24,2019-12-01,-24
3,16-24,2020-01-01,-31
4,16-24,2020-02-01,-51
5,16-24,2020-03-01,-64
6,16-24,2020-04-01,-81
7,16-24,2020-05-01,-74
8,16-24,2020-06-01,-90
9,16-24,2020-07-01,-102
10,16-24,2020-08-01,-124
11,16-24,2020-09-01,-120
12,16-24,2020-10-01,-108
13,16-24,2020-11-01,-116
14,16-24,2020-12-01,-104
15,16-24,2021-01-01,-98
16,16-24,2021-02-01,-60
17,16-24,2021-03-01,-53
18,16-24,2021-04-01,-57
19,25-34,2019-10-01,0
20,25-34,2019-11-01,17
21,25-34,2019-12-01,9
22,25-34,2020-01-01,13
23,25-34,2020-02-01,10
24,25-34,2020-03-01,2
25,25-34,2020-04-01,-10
26,25-34,2020-05-01,-16
27,25-34,2020-06-01,-24
28,25-34,2020-07-01,-48
29,25-34,2020-08-01,-67
30,25-34,2020-09-01,-81
31,25-34,2020-10-01,-67
32,25-34,2020-11-01,-67
33,25-34,2020-12-01,-57
34,25-34,2021-01-01,-34
35,25-34,2021-02-01,-55
36,25-34,2021-03-01,-61
37,25-34,2021-04-01,-54
38,35-49,2019-10-01,0
39,35-49,2019-11-01,3
40,35-49,2019-12-01,-2
41,35-49,2020-01-01,-4
42,35-49,2020-02-01,-10
43,35-49,2020-03-01,-18
44,35-49,2020-04-01,-21
45,35-49,2020-05-01,-16
46,35-49,2020-06-01,-32
47,35-49,2020-07-01,-34
48,35-49,2020-08-01,-59
49,35-49,2020-09-01,-88
50,35-49,2020-10-01,-127
51,35-49,2020-11-01,-140
52,35-49,2020-12-01,-130
53,35-49,2021-01-01,-124
54,35-49,2021-02-01,-103
55,35-49,2021-03-01,-109
56,35-49,2021-04-01,-109
57,50-64,2019-10-01,0
58,50-64,2019-11-01,1
59,50-64,2019-12-01,-15
60,50-64,2020-01-01,-30
61,50-64,2020-02-01,-17
62,50-64,2020-03-01,-1
63,50-64,2020-04-01,1
64,50-64,2020-05-01,-2
65,50-64,2020-06-01,-21
66,50-64,2020-07-01,-59
67,50-64,2020-08-01,-90
68,50-64,2020-09-01,-124
69,50-64,2020-10-01,-124
70,50-64,2020-11-01,-140
71,50-64,2020-12-01,-137
72,50-64,2021-01-01,-139
73,50-64,2021-02-01,-123
74,50-64,2021-03-01,-100
75,50-64,2021-04-01,-99
76,65+,2019-10-01,0
77,65+,2019-11-01,-7
78,65+,2019-12-01,-6
79,65+,2020-01-01,-7
80,65+,2020-02-01,-3
81,65+,2020-03-01,4
82,65+,2020-04-01,1
83,65+,2020-05-01,7
84,65+,2020-06-01,3
85,65+,2020-07-01,4
86,65+,2020-08-01,-2
87,65+,2020-09-01,1
88,65+,2020-10-01,-7
89,65+,2020-11-01,-2
90,65+,2020-12-01,-4
91,65+,2021-01-01,-5
92,65+,2021-02-01,-6
93,65+,2021-03-01,-8
94,65+,2021-04-01,-13
