,age,date,value
0,16-24,2019-10-01,11.3
1,16-24,2019-11-01,11.3
2,16-24,2019-12-01,11.7
3,16-24,2020-01-01,11.8
4,16-24,2020-02-01,12.1
5,16-24,2020-03-01,12.5
6,16-24,2020-04-01,12.7
7,16-24,2020-05-01,12.9
8,16-24,2020-06-01,13.6
9,16-24,2020-07-01,14.1
10,16-24,2020-08-01,14.6
11,16-24,2020-09-01,14.5
12,16-24,2020-10-01,14.2
13,16-24,2020-11-01,14.4
14,16-24,2020-12-01,14.3
15,16-24,2021-01-01,14.3
16,25-34,2019-10-01,3.4
17,25-34,2019-11-01,3.2
18,25-34,2019-12-01,3.3
19,25-34,2020-01-01,3.2
20,25-34,2020-02-01,3.2
21,25-34,2020-03-01,3.3
22,25-34,2020-04-01,3.5
23,25-34,2020-05-01,3.5
24,25-34,2020-06-01,3.6
25,25-34,2020-07-01,3.9
26,25-34,2020-08-01,4.2
27,25-34,2020-09-01,4.3
28,25-34,2020-10-01,4.2
29,25-34,2020-11-01,4.2
30,25-34,2020-12-01,4.0
31,25-34,2021-01-01,3.7
32,35-49,2019-10-01,2.5
33,35-49,2019-11-01,2.4
34,35-49,2019-12-01,2.5
35,35-49,2020-01-01,2.5
36,35-49,2020-02-01,2.5
37,35-49,2020-03-01,2.6
38,35-49,2020-04-01,2.6
39,35-49,2020-05-01,2.5
40,35-49,2020-06-01,2.7
41,35-49,2020-07-01,2.6
42,35-49,2020-08-01,2.8
43,35-49,2020-09-01,3.1
44,35-49,2020-10-01,3.4
45,35-49,2020-11-01,3.5
46,35-49,2020-12-01,3.4
47,35-49,2021-01-01,3.4
48,50-64,2019-10-01,2.7
49,50-64,2019-11-01,2.7
50,50-64,2019-12-01,2.8
51,50-64,2020-01-01,3.0
52,50-64,2020-02-01,2.9
53,50-64,2020-03-01,2.7
54,50-64,2020-04-01,2.6
55,50-64,2020-05-01,2.7
56,50-64,2020-06-01,2.9
57,50-64,2020-07-01,3.3
58,50-64,2020-08-01,3.6
59,50-64,2020-09-01,3.9
60,50-64,2020-10-01,3.9
61,50-64,2020-11-01,4.1
62,50-64,2020-12-01,4.0
63,50-64,2021-01-01,4.1
64,65+,2019-10-01,2.0
65,65+,2019-11-01,2.5
66,65+,2019-12-01,2.3
67,65+,2020-01-01,2.3
68,65+,2020-02-01,2.0
69,65+,2020-03-01,1.6
70,65+,2020-04-01,1.9
71,65+,2020-05-01,1.4
72,65+,2020-06-01,1.7
73,65+,2020-07-01,1.6
74,65+,2020-08-01,2.3
75,65+,2020-09-01,2.1
76,65+,2020-10-01,2.5
77,65+,2020-11-01,2.3
78,65+,2020-12-01,2.4
79,65+,2021-01-01,2.4
